"Component Status","Product","Reference","Source","Responsible","Start","End","Deadline","State","Quantity Producing","Quantity To Produce","Total Quantity","Product/Cost","Product/Sales Price"
"Available","[FURN_7800] Desk Combination","WH/MO/05194","","Mitchell Admin","2024-02-12 01:00:00","2024-03-09 01:00:00","2024-04-15 01:00:00","","11.0","11.0","11.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/03554","","OdooBot","2024-02-13 01:00:00","2024-02-28 01:00:00","2024-04-10 01:00:00","","7.0","7.0","7.0","290.0","520.0"
"","[FURN_7023] Wood Panel","WH/MO/04709","","Default User Template","2024-02-14 01:00:00","2024-03-04 01:00:00","2024-02-23 01:00:00","Cancelled","0.0","1.0","1.0","80.0","100.0"
"Available","[FURN_8522] Table Top","WH/MO/04904","","OdooBot","2024-02-14 01:00:00","2024-03-11 01:00:00","2024-04-30 01:00:00","","2.0","2.0","2.0","240.0","380.0"
"","[FURN_7023] Wood Panel","WH/MO/02579","","OdooBot","2024-02-15 01:00:00","2024-04-02 01:00:00","2024-02-25 01:00:00","Cancelled","3.0","5.0","5.0","80.0","100.0"
"Available","[FURN_8522] Table Top","WH/MO/00754","SO-1754","Default User Template","2024-02-16 01:00:00","2024-03-17 01:00:00","2024-05-10 01:00:00","","5.0","5.0","5.0","240.0","380.0"
"Available","[FURN_8855] Drawer","WH/MO/06254","","Default User Template","2024-02-16 01:00:00","2024-03-12 01:00:00","2024-04-03 01:00:00","","17.0","17.0","17.0","100.0","110.5"
"","[FURN_7023] Wood Panel","WH/MO/00349","","Public user","2024-02-17 01:00:00","2024-03-22 01:00:00","2024-03-01 01:00:00","Cancelled","5.0","19.0","19.0","80.0","100.0"
"Available","[FURN_8855] Drawer","WH/MO/05844","","Public user","2024-02-17 01:00:00","2024-03-15 01:00:00","2024-04-21 01:00:00","","19.0","19.0","19.0","100.0","110.5"
"Available","[FURN_7800] Desk Combination","WH/MO/01124","","Public user","2024-02-18 01:00:00","2024-03-12 01:00:00","2024-05-18 01:00:00","","10.0","10.0","10.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/04064","","Default User Template","2024-02-23 01:00:00","2024-03-15 01:00:00","2024-05-13 01:00:00","","8.0","8.0","8.0","80.0","100.0"
"","[FURN_7023] Wood Panel","WH/MO/04829","","OdooBot","2024-02-23 01:00:00","2024-03-16 01:00:00","2024-03-15 01:00:00","Cancelled","11.0","14.0","14.0","80.0","100.0"
"","[FURN_7800] Desk Combination","WH/MO/06719","","Public user","2024-02-23 01:00:00","2024-04-07 01:00:00","2024-03-10 01:00:00","Cancelled","9.0","13.0","13.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/07694","","Mitchell Admin","2024-02-23 01:00:00","2024-03-23 01:00:00","2024-04-25 01:00:00","","13.0","13.0","13.0","290.0","520.0"
"","[FURN_7023] Wood Panel","WH/MO/00889","","OdooBot","2024-02-28 01:00:00","2024-03-28 01:00:00","2024-03-13 01:00:00","Cancelled","4.0","10.0","10.0","80.0","100.0"
"Available","[FURN_7800] Desk Combination","WH/MO/03344","","Portal User Template","2024-02-28 01:00:00","2024-03-21 01:00:00","2024-05-25 01:00:00","","1.0","1.0","1.0","300.0","450.0"
"Available","[FURN_8855] Drawer","WH/MO/01074","SO-2074","Default User Template","2024-03-01 01:00:00","2024-03-18 01:00:00","2024-05-04 01:00:00","","3.0","3.0","3.0","100.0","110.5"
"","[FURN_8522] Table Top","WH/MO/06519","","Default User Template","2024-03-02 01:00:00","2024-03-22 01:00:00","2024-03-12 01:00:00","Cancelled","9.0","20.0","20.0","240.0","380.0"
"Available","[FURN_8855] Drawer","WH/MO/01154","","Public user","2024-03-03 01:00:00","2024-03-21 01:00:00","2024-05-27 01:00:00","","2.0","2.0","2.0","100.0","110.5"
"Available","[FURN_8855] Drawer","WH/MO/04524","","Default User Template","2024-03-04 01:00:00","2024-04-12 01:00:00","2024-05-22 01:00:00","","5.0","5.0","5.0","100.0","110.5"
"","[FURN_9666] Table","WH/MO/03239","","OdooBot","2024-03-06 01:00:00","2024-04-09 01:00:00","2024-03-24 01:00:00","Cancelled","11.0","20.0","20.0","290.0","520.0"
"","[FURN_9666] Table","WH/MO/06569","","Portal User Template","2024-03-09 01:00:00","2024-04-26 01:00:00","2024-03-16 01:00:00","Cancelled","0.0","2.0","2.0","290.0","520.0"
"Available","[FURN_9666] Table","WH/MO/03304","","Public user","2024-03-11 01:00:00","2024-04-01 01:00:00","2024-06-16 01:00:00","","9.0","9.0","9.0","290.0","520.0"
"Available","[FURN_8522] Table Top","WH/MO/05634","","OdooBot","2024-03-11 01:00:00","2024-03-29 01:00:00","2024-04-22 01:00:00","","20.0","20.0","20.0","240.0","380.0"
"","[FURN_7800] Desk Combination","WH/MO/03119","SO-4119","Public user","2024-03-13 01:00:00","2024-04-16 01:00:00","2024-03-31 01:00:00","Cancelled","7.0","13.0","13.0","300.0","450.0"
"Available","[FURN_8855] Drawer","WH/MO/07904","","Default User Template","2024-03-13 01:00:00","2024-03-28 01:00:00","2024-04-29 01:00:00","","1.0","1.0","1.0","100.0","110.5"
"Available","[FURN_8855] Drawer","WH/MO/08694","SO-9694","Public user","2024-03-13 01:00:00","2024-04-08 01:00:00","2024-04-22 01:00:00","","14.0","14.0","14.0","100.0","110.5"
"Available","[FURN_8855] Drawer","WH/MO/08884","","Portal User Template","2024-03-13 01:00:00","2024-04-01 01:00:00","2024-06-07 01:00:00","","12.0","12.0","12.0","100.0","110.5"
"","[FURN_7800] Desk Combination","WH/MO/04599","SO-5599","Default User Template","2024-03-15 01:00:00","2024-04-05 01:00:00","2024-04-02 01:00:00","Cancelled","2.0","8.0","8.0","300.0","450.0"
"","[FURN_7023] Wood Panel","WH/MO/07229","","OdooBot","2024-03-15 01:00:00","2024-04-09 01:00:00","2024-03-31 01:00:00","Cancelled","4.0","11.0","11.0","80.0","100.0"
"Available","[FURN_7800] Desk Combination","WH/MO/00164","SO-1164","Mitchell Admin","2024-03-17 01:00:00","2024-04-12 01:00:00","2024-05-07 01:00:00","","6.0","6.0","6.0","300.0","450.0"
"","[FURN_8522] Table Top","WH/MO/06779","","Public user","2024-03-17 01:00:00","2024-04-04 01:00:00","2024-03-30 01:00:00","Cancelled","3.0","5.0","5.0","240.0","380.0"
"Available","[FURN_7023] Wood Panel","WH/MO/07834","SO-8834","Portal User Template","2024-03-18 01:00:00","2024-04-29 01:00:00","2024-05-30 01:00:00","","10.0","10.0","10.0","80.0","100.0"
"Available","[FURN_8522] Table Top","WH/MO/03984","","Default User Template","2024-03-19 01:00:00","2024-04-24 01:00:00","2024-05-24 01:00:00","","13.0","13.0","13.0","240.0","380.0"
"","[FURN_7800] Desk Combination","WH/MO/06039","","Public user","2024-03-21 01:00:00","2024-05-12 01:00:00","2024-03-31 01:00:00","Cancelled","0.0","1.0","1.0","300.0","450.0"
"Available","[FURN_8522] Table Top","WH/MO/01884","SO-2884","Default User Template","2024-03-23 01:00:00","2024-04-07 01:00:00","2024-06-13 01:00:00","","13.0","13.0","13.0","240.0","380.0"
"","[FURN_8855] Drawer","WH/MO/01289","SO-2289","Mitchell Admin","2024-03-24 01:00:00","2024-04-29 01:00:00","2024-04-03 01:00:00","Cancelled","8.0","13.0","13.0","100.0","110.5"
"Available","[FURN_9666] Table","WH/MO/06994","","Public user","2024-03-24 01:00:00","2024-04-06 01:00:00","2024-06-15 01:00:00","","18.0","18.0","18.0","290.0","520.0"
"","[FURN_7800] Desk Combination","WH/MO/03579","","Portal User Template","2024-03-25 01:00:00","2024-04-22 01:00:00","2024-04-06 01:00:00","Cancelled","4.0","6.0","6.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/05734","","Default User Template","2024-03-27 01:00:00","2024-04-10 01:00:00","2024-06-08 01:00:00","","3.0","3.0","3.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/02144","","Public user","2024-03-28 01:00:00","2024-05-07 01:00:00","2024-05-27 01:00:00","","15.0","15.0","15.0","300.0","450.0"
"","[FURN_9666] Table","WH/MO/04089","","Public user","2024-03-28 01:00:00","2024-05-08 01:00:00","2024-04-06 01:00:00","Cancelled","3.0","8.0","8.0","290.0","520.0"
"Available","[FURN_9666] Table","WH/MO/02134","SO-3134","Mitchell Admin","2024-03-29 01:00:00","2024-05-09 01:00:00","2024-06-24 01:00:00","","4.0","4.0","4.0","290.0","520.0"
"Available","[FURN_9666] Table","WH/MO/00744","","Mitchell Admin","2024-04-01 01:00:00","2024-04-27 01:00:00","2024-06-14 01:00:00","","12.0","12.0","12.0","290.0","520.0"
"","[FURN_7800] Desk Combination","WH/MO/03359","","OdooBot","2024-04-02 01:00:00","2024-05-12 01:00:00","2024-04-15 01:00:00","Cancelled","7.0","19.0","19.0","300.0","450.0"
"","[FURN_8522] Table Top","WH/MO/00759","SO-1759","Portal User Template","2024-04-03 01:00:00","2024-05-10 01:00:00","2024-04-15 01:00:00","Cancelled","8.0","14.0","14.0","240.0","380.0"
"Available","[FURN_7800] Desk Combination","WH/MO/05614","SO-6614","Portal User Template","2024-04-03 01:00:00","2024-04-17 01:00:00","2024-06-24 01:00:00","","11.0","11.0","11.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/07994","SO-8994","OdooBot","2024-04-03 01:00:00","2024-04-28 01:00:00","2024-06-28 01:00:00","","15.0","15.0","15.0","80.0","100.0"
"Available","[FURN_7800] Desk Combination","WH/MO/00944","SO-1944","Portal User Template","2024-04-04 01:00:00","2024-04-25 01:00:00","2024-07-10 01:00:00","","2.0","2.0","2.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/01374","","Public user","2024-04-05 01:00:00","2024-04-22 01:00:00","2024-07-04 01:00:00","","18.0","18.0","18.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/01854","","OdooBot","2024-04-05 01:00:00","2024-04-27 01:00:00","2024-06-12 01:00:00","","3.0","3.0","3.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/04964","","Portal User Template","2024-04-05 01:00:00","2024-05-07 01:00:00","2024-07-02 01:00:00","","17.0","17.0","17.0","290.0","520.0"
"","[FURN_8522] Table Top","WH/MO/07049","","Mitchell Admin","2024-04-06 01:00:00","2024-04-29 01:00:00","2024-04-28 01:00:00","Cancelled","10.0","20.0","20.0","240.0","380.0"
"","[FURN_8522] Table Top","WH/MO/08069","","Public user","2024-04-07 01:00:00","2024-05-21 01:00:00","2024-04-16 01:00:00","Cancelled","5.0","15.0","15.0","240.0","380.0"
"","[FURN_9666] Table","WH/MO/08929","","Default User Template","2024-04-08 01:00:00","2024-05-28 01:00:00","2024-04-19 01:00:00","Cancelled","1.0","4.0","4.0","290.0","520.0"
"","[FURN_8855] Drawer","WH/MO/09049","","Portal User Template","2024-04-10 01:00:00","2024-05-30 01:00:00","2024-04-23 01:00:00","Cancelled","3.0","6.0","6.0","100.0","110.5"
"Available","[FURN_8855] Drawer","WH/MO/01114","SO-2114","Default User Template","2024-04-11 01:00:00","2024-04-25 01:00:00","2024-06-08 01:00:00","","16.0","16.0","16.0","100.0","110.5"
"Available","[FURN_9666] Table","WH/MO/03704","SO-4704","OdooBot","2024-04-11 01:00:00","2024-05-11 01:00:00","2024-06-10 01:00:00","","5.0","5.0","5.0","290.0","520.0"
"","[FURN_7800] Desk Combination","WH/MO/06939","SO-7939","OdooBot","2024-04-11 01:00:00","2024-05-23 01:00:00","2024-04-30 01:00:00","Cancelled","7.0","14.0","14.0","300.0","450.0"
"","[FURN_8522] Table Top","WH/MO/07879","","Default User Template","2024-04-11 01:00:00","2024-06-03 01:00:00","2024-04-16 01:00:00","Cancelled","4.0","8.0","8.0","240.0","380.0"
"","[FURN_8522] Table Top","WH/MO/02769","","Portal User Template","2024-04-13 01:00:00","2024-05-25 01:00:00","2024-04-30 01:00:00","Cancelled","7.0","16.0","16.0","240.0","380.0"
"","[FURN_7800] Desk Combination","WH/MO/06359","SO-7359","Default User Template","2024-04-14 01:00:00","2024-05-15 01:00:00","2024-05-03 01:00:00","Cancelled","2.0","8.0","8.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/08244","","Mitchell Admin","2024-04-15 01:00:00","2024-05-15 01:00:00","2024-06-06 01:00:00","","8.0","8.0","8.0","290.0","520.0"
"Available","[FURN_8855] Drawer","WH/MO/04614","SO-5614","Mitchell Admin","2024-04-16 01:00:00","2024-05-05 01:00:00","2024-06-16 01:00:00","","15.0","15.0","15.0","100.0","110.5"
"","[FURN_8855] Drawer","WH/MO/03099","","OdooBot","2024-04-19 01:00:00","2024-05-20 01:00:00","2024-05-06 01:00:00","Cancelled","1.0","3.0","3.0","100.0","110.5"
"","[FURN_8522] Table Top","WH/MO/04059","","Portal User Template","2024-04-19 01:00:00","2024-06-07 01:00:00","2024-05-05 01:00:00","Cancelled","1.0","2.0","2.0","240.0","380.0"
"","[FURN_8855] Drawer","WH/MO/09569","","Portal User Template","2024-04-19 01:00:00","2024-06-01 01:00:00","2024-05-05 01:00:00","Cancelled","7.0","16.0","16.0","100.0","110.5"
"Available","[FURN_9666] Table","WH/MO/06484","","Mitchell Admin","2024-04-21 01:00:00","2024-05-13 01:00:00","2024-06-27 01:00:00","","7.0","7.0","7.0","290.0","520.0"
"Available","[FURN_8522] Table Top","WH/MO/01694","SO-2694","Portal User Template","2024-04-22 01:00:00","2024-05-15 01:00:00","2024-06-10 01:00:00","","8.0","8.0","8.0","240.0","380.0"
"Available","[FURN_7800] Desk Combination","WH/MO/09354","","Portal User Template","2024-04-22 01:00:00","2024-05-13 01:00:00","2024-07-22 01:00:00","","4.0","4.0","4.0","300.0","450.0"
"","[FURN_7023] Wood Panel","WH/MO/08899","","Public user","2024-04-23 01:00:00","2024-05-27 01:00:00","2024-05-05 01:00:00","Cancelled","8.0","14.0","14.0","80.0","100.0"
"Available","[FURN_8522] Table Top","WH/MO/01354","","Portal User Template","2024-04-24 01:00:00","2024-05-30 01:00:00","2024-07-19 01:00:00","","6.0","6.0","6.0","240.0","380.0"
"","[FURN_9666] Table","WH/MO/05259","","OdooBot","2024-04-25 01:00:00","2024-05-29 01:00:00","2024-05-14 01:00:00","Cancelled","8.0","18.0","18.0","290.0","520.0"
"","[FURN_8855] Drawer","WH/MO/07179","","Portal User Template","2024-04-25 01:00:00","2024-05-19 01:00:00","2024-05-13 01:00:00","Cancelled","2.0","10.0","10.0","100.0","110.5"
"Available","[FURN_9666] Table","WH/MO/03914","","Default User Template","2024-04-26 01:00:00","2024-05-16 01:00:00","2024-06-30 01:00:00","","1.0","1.0","1.0","290.0","520.0"
"","[FURN_7800] Desk Combination","WH/MO/05189","","Public user","2024-04-29 01:00:00","2024-06-22 01:00:00","2024-05-15 01:00:00","Cancelled","4.0","6.0","6.0","300.0","450.0"
"","[FURN_8855] Drawer","WH/MO/05599","","OdooBot","2024-04-29 01:00:00","2024-05-20 01:00:00","2024-05-08 01:00:00","Cancelled","15.0","20.0","20.0","100.0","110.5"
"","[FURN_7023] Wood Panel","WH/MO/04389","SO-5389","Mitchell Admin","2024-05-01 01:00:00","2024-05-18 01:00:00","2024-05-11 01:00:00","Cancelled","1.0","6.0","6.0","80.0","100.0"
"","[FURN_9666] Table","WH/MO/01869","","Mitchell Admin","2024-05-03 01:00:00","2024-05-29 01:00:00","2024-05-24 01:00:00","Cancelled","1.0","2.0","2.0","290.0","520.0"
"","[FURN_9666] Table","WH/MO/01489","","OdooBot","2024-05-04 01:00:00","2024-05-26 01:00:00","2024-05-14 01:00:00","Cancelled","1.0","5.0","5.0","290.0","520.0"
"Available","[FURN_8855] Drawer","WH/MO/01974","","Default User Template","2024-05-05 01:00:00","2024-05-16 01:00:00","2024-06-20 01:00:00","","19.0","19.0","19.0","100.0","110.5"
"Available","[FURN_9666] Table","WH/MO/07854","","OdooBot","2024-05-05 01:00:00","2024-05-30 01:00:00","2024-08-10 01:00:00","","6.0","6.0","6.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/02184","SO-3184","OdooBot","2024-05-06 01:00:00","2024-06-13 01:00:00","2024-07-29 01:00:00","","15.0","15.0","15.0","300.0","450.0"
"Available","[FURN_8855] Drawer","WH/MO/02724","","Default User Template","2024-05-08 01:00:00","2024-06-16 01:00:00","2024-07-28 01:00:00","","8.0","8.0","8.0","100.0","110.5"
"Available","[FURN_8855] Drawer","WH/MO/09774","SO-10774","Default User Template","2024-05-08 01:00:00","2024-06-14 01:00:00","2024-07-04 01:00:00","","11.0","11.0","11.0","100.0","110.5"
"","[FURN_7800] Desk Combination","WH/MO/08729","SO-9729","Default User Template","2024-05-09 01:00:00","2024-06-01 01:00:00","2024-05-19 01:00:00","Cancelled","10.0","15.0","15.0","300.0","450.0"
"","[FURN_8855] Drawer","WH/MO/08879","SO-9879","OdooBot","2024-05-09 01:00:00","2024-06-30 01:00:00","2024-05-25 01:00:00","Cancelled","6.0","18.0","18.0","100.0","110.5"
"","[FURN_7800] Desk Combination","WH/MO/07919","SO-8919","Mitchell Admin","2024-05-10 01:00:00","2024-06-29 01:00:00","2024-05-20 01:00:00","Cancelled","7.0","12.0","12.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/00224","SO-1224","Mitchell Admin","2024-05-11 01:00:00","2024-05-30 01:00:00","2024-06-30 01:00:00","","18.0","18.0","18.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/00784","","Default User Template","2024-05-11 01:00:00","2024-06-14 01:00:00","2024-07-25 01:00:00","","5.0","5.0","5.0","80.0","100.0"
"Available","[FURN_7800] Desk Combination","WH/MO/06764","","Default User Template","2024-05-11 01:00:00","2024-06-08 01:00:00","2024-07-17 01:00:00","","11.0","11.0","11.0","300.0","450.0"
"Available","[FURN_8855] Drawer","WH/MO/08914","","Mitchell Admin","2024-05-12 01:00:00","2024-06-04 01:00:00","2024-07-19 01:00:00","","1.0","1.0","1.0","100.0","110.5"
"Available","[FURN_8855] Drawer","WH/MO/03004","","Default User Template","2024-05-13 01:00:00","2024-05-31 01:00:00","2024-08-19 01:00:00","","1.0","1.0","1.0","100.0","110.5"
"","[FURN_7023] Wood Panel","WH/MO/07659","SO-8659","Public user","2024-05-15 01:00:00","2024-06-30 01:00:00","2024-05-29 01:00:00","Cancelled","0.0","2.0","2.0","80.0","100.0"
"Available","[FURN_8522] Table Top","WH/MO/01684","","Mitchell Admin","2024-05-16 01:00:00","2024-06-19 01:00:00","2024-08-05 01:00:00","","7.0","7.0","7.0","240.0","380.0"
"","[FURN_7023] Wood Panel","WH/MO/01889","SO-2889","Mitchell Admin","2024-05-16 01:00:00","2024-06-28 01:00:00","2024-05-27 01:00:00","Cancelled","5.0","7.0","7.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/03854","SO-4854","OdooBot","2024-05-16 01:00:00","2024-06-17 01:00:00","2024-08-14 01:00:00","","15.0","15.0","15.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/06954","SO-7954","Mitchell Admin","2024-05-17 01:00:00","2024-06-02 01:00:00","2024-06-28 01:00:00","","15.0","15.0","15.0","80.0","100.0"
"","[FURN_7800] Desk Combination","WH/MO/02749","","Default User Template","2024-05-19 01:00:00","2024-07-07 01:00:00","2024-06-01 01:00:00","Cancelled","8.0","12.0","12.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/07334","","Mitchell Admin","2024-05-20 01:00:00","2024-06-15 01:00:00","2024-07-31 01:00:00","","13.0","13.0","13.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/03674","","Public user","2024-05-21 01:00:00","2024-06-29 01:00:00","2024-08-18 01:00:00","","20.0","20.0","20.0","290.0","520.0"
"","[FURN_7023] Wood Panel","WH/MO/01589","","Default User Template","2024-05-23 01:00:00","2024-06-08 01:00:00","2024-06-11 01:00:00","Cancelled","5.0","17.0","17.0","80.0","100.0"
